Year,Title,Role,Director
1986,Adukkan Entheluppam,Srinivasan Nair,Jeassy
1986,Snehamulla Simham,Vaishakhan,Sajan
1986,Kaveri,Dr. Hari,Rajeev Nath
1986,Neram Pularumbol,Lawrence,K. P. Kumaran
1986,Poomukhappadiyil Ninneyum Kathu,Isacc Peter,Bhadran
1986,Arappatta Kettiya Gramathil,Zacharia,P. Padmarajan
1986,Prathyekam Sradhikuka,Suresh,P. G. Viswambharan
1986,Kshamichu Ennoru Vakku,Adv. Ravindranath,Joshiy
1986,Malarum Kiliyum,Balachandran,K. Madhu
1986,Kariyila Kattu Pole,Harikrishnan,P. Padmarajan
1986,Vartha,Madhavan Kutty,I. V. Sasi
1986,Aalorungi Arangorungi,Rajan,Chellappan
1986,Mazha Peyyunnu Maddalam Kottunnu,Guest appearance,Priyadarshan
1986,Ithile Iniyum Varu,Aravindan,P. G. Viswambharan
1986,Shyama,Viswanathan,Joshy
1986,Oru Katha Oru Nunnakkatha,Prof. Mohandas,Mohan
1985,Akalathe Ambili,Ajayan,Jeassy
1985,Kandu Kandarinju,Sreedharan,Sajan
1985,Kathodu Kathoram,Louis,Bharathan
1985,Upaharam,Dr. Jeevan Thomas,Sajan
1985,Karimbinpoovinakkare,Sivan,I. V. Sasi
1985,Aa Neram Alppa Dooram,Jameskutty,Thampi Kannanthanam
1985,Puli Varunne Puli,Jayaraman,Harikumar
1985,Vilichu Vilikettu,Vijayan,Sreekumaran Thampi
1985,Kanathaya Penkutty,Rajmohan,K. N. Sasidharan
1985,Ee Lokam Ivide Kure Manushyar,Ummer,P. G. Viswambharan
1985,Yathra,Unnikrishnan,Balu Mahendra
1985,Nirakkoottu,Ravi Varma,Joshy
1985,Idanilangal,Vijayan,I. V. Sasi
1985,Iniyum Katha Thudarum,Ravindran,Joshy
1985,Puzhayozhukum Vazhi,Gopan,M. Krishnan Nair
1985,Ente Kaanakkuyil,Mohan Kumar,Sasikumar
1985,Angadikkappurath,Jose,I. V. Sasi
1985,Ayanam,Johny,Harikumar
1985,Oru Nokku Kanan,Jayadevan,Sajan
1985,Onningu Vannengil,Mohandas,Joshy
1985,Manya Mahajanangale,Devan,A. T. Abu
1985,Oru Sandesam Koodi,Vijayan,Cochin Haneefa
1985,Katha Ithuvare,Balachandran,Joshy
1985,Ee Sabdam Innathe Sabdam,Dr. Ramachandran,P. G. Viswambharan
1985,Anubandham,Muraleedharan Master,I. V. Sasi
1985,Oduvil Kittiya Vartha,Gopalan Kutty,Yatheendradas
1985,Makan Ente Makan,Prakasan,Sasikumar
1985,Thammil Thammil,Dr. Rajagopal,Sajan
1985,Eeran Sandhya,Madhavankutty,Jeassy
1985,Avidathepole Ivideyum,Anirudhan,K. S. Sethumadhavan
1985,Ee Thanalil Ithiri Neram,Vijayan,P. G. Viswambharan
1985,Muhurtham Pathnonnu Muppathinu,Dr. M. K. Haridas,Joshy
1985,Parayanumvayya Parayathirikkanumvayya,Sreekumar,Priyadarshan
1985,Thinkalazhcha Nalla Divasam,Gopan,P. Padmarajan
1984,Kodathi,Rajendran,Joshy
1984,Aalkkoottathil Thaniye,Rajan,I. V. Sasi
1984,Aarorumariyathe,Venugopal,K. S. Sethumadhavan
1984,Aattuvanchi Ulanjappol,Balachandran,Bhadran
1984,Aayiram Abilashangal,Devadasan,Soman Ambatt
1984,Adiyozhukkukal,Karunan,I. V. Sasi
1984,Akkare,Ismail,K. N. Sasidharan
1984,Aksharangal,Jayadevan,I. V. Sasi
1984,Alakadalinakkare,Anand,Joshy
1984,Anithichuvappu,George Kutty,Kurien Varnassala
1984,Ariyaatha Veethikal,Ravi,K. S. Sethumadhavan
1984,Athirathram,Tharadas,I. V. Sasi
1984,Chakkarayumma,Babu,Sajan
1984,Idavelakku Sesham,Jayadevan,Joshy
1984,Engane Undasane,Gopikuttan Pillai,Balu Kiriyath
1984,Ente Upasana,Arjunan,Bharathan
1984,Ethirppukal,Kochu Baby,Unni Aranmula
1984,Itha Innu Muthal,Adv. Jayamohan,T. S. Suresh Babu
1984,Ithiri Poove Chuvannapoove,Balagopalan,Bharathan
1984,Kanamarayathu,Roy Varghese,I. V. Sasi
1984,Koottinilamkili,Krishnanunni,Sajan
1984,Lakshmana Rekha,Sukumaran Nair,I. V. Sasi
1984,Mangalam Nerunnu,Babu,Mohan
1984,Manithali,Zulfikar,M. Krishnan Nair
1984,Onnanu Nammal,Sethu,P. G. Viswambharan
1984,Onnum Mindatha Bharya,Achuthan Nair,Balu Kiriyath
1984,Oru Kochukatha Aarum Parayatha Katha,Dr. Surendran,P. G. Viswambharan
1984,Pavam Poornima,Jayaraj,Balu Kiriyath
1984,Sandhyakenthinu Sindooram,Raghunathan,P. G. Viswambharan
1984,Sandarbham,Ravi,Joshy
1984,Thirakil Alppam Samayam,Jose,P. G. Viswambharan
1984,Veendum Chalikkunna Chakram,Jose,P. G. Viswambharan
1984,Vetta,Rathish,Mohan Roop
1984,Vikatakavi,Usman,T. Hariharan
1983,Eettillam,Sivan,Fazil
1983,Aa Rathri,Balu,Joshy
1983,Aadaminte Vaariyellu,Jose,K. G. George
1983,America America,Ramesh,I. V. Sasi
1983,Asthram,Balu,P. N. Menon
1983,Chakravalam Chuvannappol,Vasu,Sasikumar
1983,Changatham,Tony Francis,Bhadran
1983,Coolie,Kunchali,Ashok Kumar
1983,Ente Katha,Babu,P. K. Joseph
1983,Guru Dakshina,John,Baby
1983,Himavahini,Gopi,P. G. Viswambharan
1983,Iniyenkilum,Divakaran,I. V. Sasi
1983,Kattaruvi,Vasu,Sasikumar
1983,Kinnaram,Balachandran,Sathyan Anthikkad
1983,Kodunkattu,Musthafa,Joshy
1983,Koodevide,Captain Thomas,Padmarajan
1983,Lekhayude Maranam Oru Flashback,Prem Sagar,K. G. George
1983,Maniyara,Shameer,P. K. Joseph
1983,Manassoru Mahasamudram,Venugopal,P. K. Joseph
1983,Marakkillorikkalum,Cameo,Fazil
1983,Nanayam,Raju,I. V. Sasi
1983,Nadi Muthal Nadi Vare,Raju,Vijayanand
1983,Onnu Chirikku,Unnikrishnan,P. G. Viswambharan
1983,Oru Madapravinte Katha,Balachandran,Alleppey Ashraf
1983,Oru Mukham Pala Mukham,Muralidhran Thambi,P. K. Joseph
1983,Oru Swakaryam,Usman,Hari Kumar
1983,Pinnilavu,Unni,P. G. Viswambharan
1983,Prathijnja,Hamsa,Sundaram P. N.
1983,Rachana,Gopi,Mohan
1983,Rugma,Raghu,P. G. Viswambharan
1983,Saagaram Shaantham,Ananthan,P. G. Viswambharan
1983,Sandhyakku Virinja Poovu,Jayamohan,P. G. Viswambharan
1983,Sesham Kazhchayil,Jagadish,Balachandra Menon
1983,Theeram Thedunna Thira,Madhu,A. Vincent
1983,Visa,Shereef,Balu Kiriyath
1982,Innallenkil Naale,Rahim,I. V. Sasi
1982,Balloon,Muthukoya,Ravigupthan
1982,Aa Divasam,Balachandran,M Mani
1982,Amrutha Geetham,Suresh,Baby
1982,Chambalkadu,Beeran,K. G. Rajasekharan
1982,Chiriyo Chiri,Unknown,Balachandra Menon
1982,Ee Nadu,Salim,I. V. Sasi
1982,Enthino Pookunna Pookal,Sivaraman,Gopinath Babu
1982,Idiyum Minnalum,Prabhakaran,P G Vishwambharan
1982,John Jaffer Janardhanan,Janardhanan,I. V. Sasi
1982,Keni,Babu,Sasikumar
1982,Komaram,Babu,J. C. George
1982,Oru Thira Pinneyum Thira,Jayadevan,Dr. Pavithran
1982,Padayottam,Kammaran,Jijo Punnoose
1982,Ponnum Poovum,Salim,A. Vincent
1982,Pooviriyum Pulari,Ramesh,G. Premkumar
1982,Post Mortem,Johny,Sasikumar
1982,Sara Varsham,Rajashekharan,S. Babu
1982,Sindoora Sandhyakku Mounam,Bitpart,I. V. Sasi
1982,Thadaakam,,I. V. Sasi
1982,Veedu,Rajasekhara Menon,Rasheed Karapuzha
1982,Vidhichathum Kothichathum,Vasu,T. S. Mohan
1982,Yavanika,Jacob Eerally,K. G. George
1982,Vaarikkuzhi,,M. T. Vasudevan Nair
1981,Ahimsa,Vasu,I. V. Sasi
1981,Oothikachiya Ponnu,Thoman Kutty,P. K. Joseph
1981,Thrishna,Krishna Das,I. V. Sasi
1981,Munnettam,Rajappan,Sreekumaran Thampi
1981,Sphodanam,Thankappan,P. G. Viswambharan
1980,Mela,Vijayan,K. G. George
1980,Vilkkanundu Swapnangal,Madhavan Kutty,Azad
1973,Kaalachakram,Balakrishnan,K. Narayanan
1971,Anubhavangal Paalichakal,Uncredited,K. S. Sethumadhavan
2017,Peranbu,,Ram
2010,Vandae Maatharam,Gopikrishnan,D. Arvind
2004,Vishwa Thulasi,Vishwa,Sumathy Ram
2002,Karmegham,Karmegham,S. P. Rajkumar
2002,Junior Senior,Santhosh,Suresh
2001,Aanandham,Thirupathi,N. Lingusamy
2000,Kandukondain Kandukondain,Major Bala,Rajiv Menon
1999,Edhirum Pudhirum,Collector,V.C Ramani
1998,Marumalarchi,Rasu Padayachi,K. Bharathi
1997,Arasiyal,Chandrasekhar,R. K. Selvamani
1997,Pudhayal,Captain Vishwanath,Selva
1995,Makkal Aatchi,Sethupathi,R. K. Selvamani
1993,Kilipetchu Ketkava,Chidambaramcitation needed],Fazil
1991,Thalapathi,Devaraj,Mani Ratnam
1991,Azhagan,Azhakappan,K. Balachander
1990,Mounam Sammadham,Raja,K. Madhu
